id_trasporte,trasporte,direccion,id_condado,condado,codigo_postal_condado,latitud_condado,longitud_condado,id_ciudad,ciudad,codigo_postal_ciudad,latitud_ciudad,longitud_ciudad,estado,atributos,categorias,puntuacion_usuarios,numero_de_reviews,analisis_sentimientos,anio
IOSP0,Road & Trail Bicycles,5113 US-98,bAiC,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,UD7Y,Lakeland,33812,27.9710366,-81.88254,Florida,,,,,neutral,2024
7FHSW,Bicycles Etc.,152 Capital Green Drive,uhNp,St. Johns,"32080, 32082, 32084",29.9719419,-81.4278984,Y3RZ,Ponte Vedra Beach,32081,30.109656,-81.4184602,Florida,,,,,positivo,2024
Z55UJ,Bicycles Etc.,152 Capital Green Drive,uhNp,St. Johns,"32080, 32082, 32084",29.9719419,-81.4278984,Y3RZ,Ponte Vedra Beach,32081,30.109656,-81.4184602,Florida,,,,,negativo,2024
NAVW9,Bicycles Etc.,152 Capital Green Drive,uhNp,St. Johns,"32080, 32082, 32084",29.9719419,-81.4278984,Y3RZ,Ponte Vedra Beach,32081,30.109656,-81.4184602,Florida,,,,,neutral,2024
F355S,National Car Rental,145 Airport Rd,L9w5,Flagler,"32110, 32136, 32164",29.4086072,-81.2518833,Gerv,Palm Coast,32164,29.4730837,-81.2071652,Florida,,,,,positivo,2024
F355S,National Car Rental,145 Airport Rd,L9w5,Flagler,"32110, 32136, 32164",29.4086072,-81.2518833,Gerv,Palm Coast,32164,29.4730837,-81.2071652,Florida,,,,,negativo,2024
F355S,National Car Rental,145 Airport Rd,L9w5,Flagler,"32110, 32136, 32164",29.4086072,-81.2518833,Gerv,Palm Coast,32164,29.4730837,-81.2071652,Florida,,,,,neutral,2024
Y7YX0,Corporate Coaches,4500 FL-7,QLkh,Broward,"33004, 33301, 33324",26.190096,-80.365865,TDGL,Fort Lauderdale,33314,26.0657636,-80.2075149,Florida,,,,,neutral,2024
FF7JZ,Corporate Coaches,4500 FL-7,QLkh,Broward,"33004, 33301, 33324",26.190096,-80.365865,TDGL,Fort Lauderdale,33314,26.0657636,-80.2075149,Florida,,,,,positivo,2024
51HS4,Enterprise Rent-A-Car,1165 NW 55th St,QLkh,Broward,"33004, 33301, 33324",26.190096,-80.365865,TDGL,Fort Lauderdale,33309,26.1946385,-80.159203,Florida,,,,,positivo,2024
51HS4,Enterprise Rent-A-Car,1165 NW 55th St,QLkh,Broward,"33004, 33301, 33324",26.190096,-80.365865,TDGL,Fort Lauderdale,33309,26.1946385,-80.159203,Florida,,,,,negativo,2024
51HS4,Enterprise Rent-A-Car,1165 NW 55th St,QLkh,Broward,"33004, 33301, 33324",26.190096,-80.365865,TDGL,Fort Lauderdale,33309,26.1946385,-80.159203,Florida,,,,,neutral,2024
J69WQ,Road & Mountain Bikes,10265 Tamiami Trail N,V1oO,Collier,"34102, 34112, 34120",26.069985,-81.4278984,R3EM,Naples,34108,26.26483,-81.8020672,Florida,,,,,positivo,2024
5ORFJ,Road & Mountain Bikes,10265 Tamiami Trail N,V1oO,Collier,"34102, 34112, 34120",26.069985,-81.4278984,R3EM,Naples,34108,26.26483,-81.8020672,Florida,,,,,negativo,2024
MHK9W,Road & Mountain Bikes,10265 Tamiami Trail N,V1oO,Collier,"34102, 34112, 34120",26.069985,-81.4278984,R3EM,Naples,34108,26.26483,-81.8020672,Florida,,,,,neutral,2024
