id_nombre,nombre,nombre_normalizado
ABSX,"Physiocare, inc.",
H7R0,Dr. gorbatov dentistry,
GCO2,Clay primary & family care,
ZUS6,Borland groover memorial,
RYMQ,Family arthritis center,
JLUA,Vero dental spa,
ZDWH,Palm beach animal hospital,
7PJA,Community health centers of pinellas inc. at martin luther king jr.,
YEAQ,Ismile doral by dr. sonia olivares,
7VVH,"Sadegh amini koves, md",
ITYS,Christos doctors inn walk in healthcare,
YPOF,All creatures family pet center,
67XL,"Dr. hector l. briceno, dmd",
XI24,Kindred hospital melbourne,
G6I5,"Cardiac care group, llc",
RK4A,Langley health inverness,
T5HA,Seaglass dental care,
H5FM,Good life healing bradenton,
NFAF,Dania beach chiropractic center,
1DW9,Tallahassee neurological clinic - division of pain management,
DNPP,Darwin chiropractic center,
CVKC,"Josep genebriera, m.d.",
9718,Minuteclinic,
UJEJ,Lakeside dental arts,
1T24,First coast mental health pa,
BPFV,Towncare dental of boca raton,
OGET,Eau gallie medical center,
MNNS,Deerfield family dental,
SQ0Q,Country isles dental,
9HET,Wesconnett wic and nutrition services,
5IOL,Michaels center for dental excellence - spring hill,
9EUP,St. augustine regional veterinary emergency center,
5RXT,Valentine chiropractic inc.,
4ZDS,Boulder rock dental,
JXZZ,Liberate physician centers,
I10W,Bruce w. carter va medical center,
XG5C,"Mohammad. a. hajianpour, md",
LM1N,Mission lakes dental care,
X2CY,Stevens crossing dental care,
JHVM,Green relief,
0BTO,Balancing point,
PE5Z,Gentle gynecology and obstetrics,
2UZE,Florida community health centers inc.,
PTK7,Longevity wellness clinic,
YOQG,Arthur's pharmacy and medical supply,
729D,Sterling medical group - winter park,
HE16,Pediatric & family dental group,
SQDG,Windsor woods convalescent center,
X0RI,Leeward medical,
J7EA,Pierson community pharmacy,
A3HQ,Florida health care plans pharmacy,
9VE1,Cheek & scott pharmacy • live oak,
N6FM,Lake lucerne lifestyle dentistry,
FB62,Cherry blossom family dentistry,
H39U,Thrive! wellness center,
FEGF,Heim regenerative medicine center,
IPCZ,Ocala family dentistry,
1JTX,Medmen west palm beach - downtown (clematis st.),
TNO2,Medmen orlando (international dr.),
563N,"Dennis o. sagini, m.d.",
GNMM,Allied physical therapy,
RNP7,Dental designs,
JOJZ,Dr. patrick bartholomew: family foot & leg center - cape coral,
RYJG,Cromer & cairns dental,
TRHP,Florida vision institute,
TYIR,Dr. juan carlos rodriguez,
W18R,The salt room wesley chapel,
AXDW,All smiles,
W9G0,Pediatric dentistry of port charlotte,
38DW,Wax spa,
TBV6,Bonita estero dental group,
M534,Family medical center,
6WL5,Dee's all breed pet resort,
YRAF,Lutz dental,
VPJU,Springs dental,
BSAQ,Angels senior living at new port richey,
7TA8,Tarpon shore dental - st. armands,
WKDY,"Menendez dental associates, pa",
PEIM,Paul horton dmd,
GZE9,Wiregrass family dental care,
V9IO,L.a. tan,
W5FJ,"Shp rehab & wellness center, inc. - dr. r. kevin o'brien dc",
53KI,The medicine shoppe® pharmacy,
E9JK,"Jay gottlieb, do, faocd",
2YM8,Vito's cbd kratom & delta-8 thc,
LMMX,Harmony united psychiatric care - lady lake,
W9GR,Celebration pediatric dentistry,
636G,Smile at margate,
S4MK,Matthews chiropractic,
QHH3,National spine & pain centers - lake mary,
FGZB,Nature coast center for primary care - homosassa springs,
O44U,Orlando recovery center,
RCXD,Public square pharmacy,
WQKZ,Uderma spa,
7D3I,South dental west kendall,
IX04,Florida spine & injury,
OAM9,Pure acupuncture & natural medicine,
TTUV,Alani dental,
RXU7,Bright now! dental,
BTRP,Green's pharmacy of palm beach,
PUNL,Your family dental,
